Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
Mercedes-Benz,2023,Certified,1999.0,63994.0,4.8,Black ,AWD,20.0,28.0,Gasoline ,2.0,0.0,False
Audi,2023,Certified,9906.0,34944.0,4.1,Black ,AWD,24.0,33.0,Gasoline ,2.0,0.0,False
Lexus,2017,Used,108427.0,20995.0,4.381503720140973,Rioja Red ,AWD,19.0,26.0,Gasoline ,3.5,1.0,False
INFINITI,2018,Used,74716.0,23976.0,4.381503720140973,Graphite ,AWD,21.0,28.0,Gasoline ,2.0,1.0,False
Volkswagen,2014,Used,147316.0,11850.0,4.381503720140973,Black Leather ,FWD,24.0,34.0,Gasoline ,1.8,1.0,False
Audi,2017,Used,43938.0,17994.0,4.6,Black ,FWD,20.59922502075837,28.0,Hybrid ,1.4,0.0,False
Scion,2016,Used,62035.0,10885.0,4.0,Black ,FWD,33.0,42.0,Gasoline ,1.5,0.0,False
Mazda,2017,Used,60236.0,23695.0,4.8,Black / Ceramic ,RWD,27.0,34.0,Gasoline ,2.0,0.0,False
Cadillac,2023,Used,13975.0,56501.0,4.4,– ,RWD,18.0,27.0,Gasoline ,3.0,0.0,True
Ford,2021,Used,4998.0,21567.0,4.0,Dark Earth Gray ,FWD,28.0,34.0,Gasoline ,1.5,0.0,True
Volkswagen,2014,Used,73835.0,16950.0,4.381503720140973,Titan Black ,FWD,28.0,37.0,Diesel ,2.0,0.0,False
FIAT,2014,Used,49417.0,8995.0,4.381503720140973,Black ,FWD,24.0,33.0,Gasoline ,1.4,0.0,False
Mercedes-Benz,2016,Used,76221.0,19372.0,4.7,Black ,AWD,17.0,22.0,Gasoline ,3.5,1.0,False
Volkswagen,2023,Used,13437.0,46888.0,4.5,Titan Black ,AWD,20.0,28.0,Gasoline ,2.0,0.0,True
Chevrolet,2022,Used,27473.0,22063.0,4.3,Jet Black ,FWD,29.0,36.0,Gasoline ,1.5,0.0,True
Subaru,2014,Used,117829.0,15912.0,4.9,Black ,AWD,19.0,25.0,Gasoline ,2.5,1.0,False
Toyota,2023,Certified,17595.0,26228.0,4.4,Black ,FWD,31.0,33.0,Gasoline ,2.0,0.0,True
